roll,CGPA,Grade
675508,4.00,A+
675509,4.00,A+
675354,3.95,A
675073,3.93,A
675724,3.89,A
675046,3.86,A
675307,3.86,A
675051,3.85,A
675548,3.83,A
676269,3.83,A
675289,3.82,A
675044,3.80,A
675598,3.78,A
675726,3.78,A
675053,3.77,A
676038,3.77,A
674930,3.76,A
675060,3.76,A
675349,3.76,A
675569,3.76,A
675026,3.75,A
675027,3.74,A-
675704,3.74,A-
675164,3.73,A-
675104,3.71,A-
675381,3.71,A-
675198,3.70,A-
676036,3.70,A-
675019,3.68,A-
675234,3.67,A-
675304,3.67,A-
675324,3.67,A-
675747,3.67,A-
675989,3.67,A-
675654,3.66,A-
675065,3.65,A-
675208,3.65,A-
674985,3.64,A-
675033,3.64,A-
675047,3.64,A-
674979,3.63,A-
674993,3.63,A-
675048,3.63,A-
675014,3.61,A-
675831,3.61,A-
675577,3.60,A-
675990,3.60,A-
674977,3.58,A-
675015,3.58,A-
675309,3.58,A-
675335,3.58,A-
675604,3.58,A-
675066,3.57,A-
675328,3.57,A-
675408,3.57,A-
674947,3.56,A-
674976,3.56,A-
675069,3.56,A-
675836,3.56,A-
674970,3.54,A-
675107,3.54,A-
675269,3.54,A-
675288,3.54,A-
675336,3.54,A-
675903,3.54,A-
676066,3.54,A-
674946,3.52,A-
675243,3.52,A-
675245,3.52,A-
675334,3.52,A-
675345,3.52,A-
675384,3.52,A-
675568,3.51,A-
675868,3.51,A-
676346,3.51,A-
674951,3.50,A-
674980,3.50,A-
675812,3.50,A-
676026,3.50,A-
675270,3.49,B+
675342,3.49,B+
675570,3.49,B+
675866,3.49,B+
675443,3.48,B+
675987,3.48,B+
675931,3.47,B+
674938,3.46,B+
675803,3.46,B+
676088,3.46,B+
676095,3.46,B+
675985,3.45,B+
676054,3.45,B+
675706,3.44,B+
674982,3.43,B+
675049,3.43,B+
675300,3.43,B+
675339,3.43,B+
675583,3.43,B+
675585,3.43,B+
675756,3.43,B+
675874,3.43,B+
676340,3.43,B+
674944,3.42,B+
675106,3.42,B+
676106,3.42,B+
675545,3.40,B+
675796,3.40,B+
674936,3.39,B+
674972,3.39,B+
675008,3.39,B+
675176,3.39,B+
675338,3.39,B+
675435,3.39,B+
675723,3.39,B+
675867,3.39,B+
675152,3.38,B+
675252,3.38,B+
676094,3.38,B+
675034,3.37,B+
675232,3.37,B+
676044,3.37,B+
676087,3.37,B+
676197,3.37,B+
676229,3.37,B+
188914,3.36,B+
674937,3.36,B+
674991,3.36,B+
675129,3.36,B+
676263,3.36,B+
675337,3.35,B+
675679,3.35,B+
675716,3.35,B+
675770,3.35,B+
675857,3.35,B+
675240,3.33,B+
675358,3.33,B+
675463,3.33,B+
675734,3.33,B+
675846,3.33,B+
676097,3.33,B+
674988,3.32,B+
675020,3.32,B+
675894,3.32,B+
676286,3.32,B+
675767,3.31,B+
675811,3.31,B+
675823,3.31,B+
675850,3.31,B+
674927,3.30,B+
674949,3.30,B+
675058,3.30,B+
675584,3.30,B+
676062,3.30,B+
676234,3.30,B+
675081,3.29,B+
675186,3.29,B+
675265,3.29,B+
675352,3.29,B+
675453,3.29,B+
676143,3.29,B+
676266,3.29,B+
676911,3.29,B+
675669,3.28,B+
675712,3.28,B+
675784,3.28,B+
675847,3.28,B+
676685,3.28,B+
674945,3.27,B+
675213,3.27,B+
674925,3.26,B+
674967,3.26,B+
675729,3.26,B+
675801,3.26,B+
675865,3.26,B+
676013,3.26,B+
676134,3.26,B+
578633,3.25,B+
674975,3.25,B+
675039,3.25,B+
675344,3.25,B+
675401,3.25,B+
675520,3.25,B+
675742,3.25,B+
676090,3.25,B+
676151,3.25,B+
676350,3.25,B+
188928,3.24,B
674923,3.24,B
675331,3.24,B
675333,3.24,B
675438,3.24,B
675462,3.24,B
675507,3.24,B
675804,3.24,B
675872,3.24,B
676148,3.24,B
676193,3.24,B
676200,3.24,B
188904,3.23,B
674961,3.23,B
675043,3.23,B
675090,3.23,B
675748,3.22,B
675785,3.22,B
675797,3.22,B
675097,3.21,B
675293,3.21,B
675815,3.21,B
675230,3.20,B
675340,3.20,B
675350,3.20,B
676041,3.20,B
675428,3.19,B
675582,3.19,B
675656,3.19,B
675689,3.19,B
675986,3.19,B
674957,3.18,B
675075,3.18,B
675235,3.18,B
675286,3.18,B
675306,3.18,B
675499,3.18,B
675837,3.18,B
675845,3.18,B
676159,3.18,B
675025,3.17,B
675099,3.17,B
675882,3.17,B
674974,3.15,B
675118,3.15,B
675276,3.15,B
675299,3.15,B
675326,3.15,B
675455,3.15,B
675607,3.15,B
675703,3.15,B
675902,3.15,B
676171,3.15,B
674962,3.14,B
675542,3.14,B
676190,3.14,B
674928,3.13,B
674929,3.13,B
675109,3.13,B
675717,3.13,B
675856,3.13,B
676108,3.13,B
675035,3.12,B
676056,3.12,B
676981,3.12,B
674956,3.11,B
674963,3.11,B
674965,3.11,B
675018,3.11,B
675067,3.11,B
675253,3.11,B
675268,3.11,B
675680,3.11,B
675789,3.11,B
675851,3.11,B
676140,3.11,B
578690,3.10,B
674934,3.10,B
674969,3.10,B
675064,3.10,B
675434,3.10,B
675439,3.10,B
675586,3.10,B
675725,3.10,B
675880,3.10,B
188917,3.08,B
188982,3.08,B
675127,3.08,B
675602,3.08,B
675835,3.08,B
676049,3.08,B
676076,3.08,B
676093,3.08,B
674932,3.07,B
674996,3.07,B
675030,3.07,B
675158,3.07,B
675227,3.07,B
676007,3.07,B
676194,3.07,B
674987,3.06,B
675032,3.05,B
675114,3.05,B
675361,3.05,B
675385,3.05,B
675666,3.05,B
676156,3.05,B
188898,3.04,B
675237,3.04,B
675241,3.04,B
675900,3.04,B
675918,3.04,B
676138,3.04,B
675521,3.03,B
675863,3.03,B
675871,3.03,B
674933,3.02,B
675157,3.02,B
675303,3.02,B
675355,3.02,B
676077,3.02,B
676109,3.02,B
676122,3.02,B
676244,3.02,B
676308,3.02,B
674942,3.01,B
675427,3.01,B
675626,3.01,B
675765,3.01,B
675913,3.01,B
676341,3.01,B
675000,3.00,B
675009,3.00,B
675658,3.00,B
675817,3.00,B
675899,3.00,B
676128,3.00,B
188921,2.99,B-
675061,2.99,B-
675182,2.99,B-
675191,2.99,B-
675271,2.99,B-
675685,2.99,B-
675731,2.99,B-
675870,2.99,B-
675887,2.99,B-
676127,2.99,B-
676983,2.99,B-
188937,2.98,B-
188938,2.98,B-
674941,2.98,B-
675312,2.98,B-
675992,2.98,B-
676136,2.98,B-
676162,2.98,B-
676320,2.98,B-
677304,2.98,B-
675707,2.97,B-
675827,2.97,B-
675923,2.97,B-
675147,2.96,B-
675372,2.96,B-
