Roll,CGPA,Grade
870733,3.98,A
871222,3.93,A
871514,3.93,A
871894,3.93,A
870933,3.92,A
870741,3.91,A
870813,3.91,A
870911,3.91,A
870775,3.90,A
871204,3.90,A
870881,3.89,A
871103,3.89,A
871206,3.89,A
871588,3.89,A
871389,3.88,A
871226,3.87,A
870816,3.86,A
872109,3.86,A
872240,3.86,A
870948,3.84,A
871448,3.84,A
870801,3.83,A
870885,3.83,A
870906,3.82,A
870796,3.81,A
871203,3.81,A
870725,3.80,A
870982,3.80,A
871485,3.80,A
871563,3.80,A
872030,3.80,A
872154,3.79,A
870750,3.78,A
870836,3.78,A
870848,3.78,A
871437,3.78,A
871484,3.78,A
870890,3.77,A
870904,3.75,A
870853,3.74,A-
871284,3.73,A-
871453,3.73,A-
871464,3.73,A-
872156,3.71,A-
870798,3.70,A-
870921,3.70,A-
871404,3.70,A-
870877,3.69,A-
870784,3.68,A-
872218,3.68,A-
871012,3.67,A-
871196,3.67,A-
871385,3.66,A-
871447,3.66,A-
871135,3.65,A-
871364,3.65,A-
870740,3.63,A-
870767,3.63,A-
870993,3.63,A-
871211,3.62,A-
871274,3.62,A-
871690,3.61,A-
871983,3.61,A-
871277,3.60,A-
871366,3.60,A-
871027,3.59,A-
871059,3.59,A-
871084,3.59,A-
871405,3.59,A-
871414,3.59,A-
871576,3.59,A-
870802,3.58,A-
870827,3.58,A-
870931,3.58,A-
871212,3.58,A-
871353,3.58,A-
871368,3.58,A-
871402,3.58,A-
871446,3.58,A-
870886,3.57,A-
871913,3.57,A-
870935,3.56,A-
871208,3.55,A-
871249,3.55,A-
871332,3.55,A-
870731,3.54,A-
871252,3.54,A-
870783,3.53,A-
871570,3.53,A-
885886,3.53,A-
871093,3.52,A-
871273,3.52,A-
871984,3.52,A-
870717,3.51,A-
871248,3.51,A-
870872,3.50,A-
872111,3.50,A-
870761,3.49,B+
872233,3.49,B+
870724,3.48,B+
871005,3.48,B+
871165,3.48,B+
872118,3.48,B+
871129,3.46,B+
871146,3.46,B+
871432,3.46,B+
871489,3.46,B+
871616,3.45,B+
871254,3.44,B+
871282,3.44,B+
871294,3.44,B+
871413,3.44,B+
871483,3.44,B+
870809,3.43,B+
870941,3.43,B+
871085,3.43,B+
871237,3.43,B+
871391,3.43,B+
871449,3.43,B+
871531,3.43,B+
871719,3.43,B+
872038,3.43,B+
871144,3.42,B+
872097,3.42,B+
870766,3.41,B+
871013,3.41,B+
871115,3.41,B+
871423,3.41,B+
871510,3.41,B+
871573,3.41,B+
870832,3.40,B+
870905,3.40,B+
870937,3.40,B+
871194,3.40,B+
871382,3.40,B+
871955,3.40,B+
872196,3.40,B+
871288,3.39,B+
