Room No,Department,Roll
1006,1/CST,24851012
1006,1/CST,24641004
1006,1/CT,24851001
1006,1/CST,24641005
1006,1/CT,24851002
1006,1/CT,24641006
1006,1/CST,24851024
1006,1/CST,24851029
1006,1/CST,24851003
1006,1/CT,24641013
1006,1/CT,24851015
1006,1/CST,24851025
1006,1/CT,24641036
1006,1/CST,24641007
1006,1/CT,24641033
1006,1/CST,24851028
1006,1/CT,24851004
1006,1/CST,24851026
1006,1/CT,24641035
1006,1/CST,24641008
1006,1/CST,24851005
1006,1/CT,24641009
1006,1/CT,X
1007,1/CT,24641041
1007,1/CST,24851032
1007,1/CT,24641042
1007,1/CST,24851039
1007,1/CT,24641048
1007,1/CST,24851038
1007,1/CT,24851033
1007,1/CT,24851047
1007,1/CT,24641065
1007,1/CST,24851040
1007,1/CT,24641050
1007,1/CST,24851041
1007,1/CT,24641043
1007,1/CT,24851034
1007,1/CT,24641044
1007,1/CT,24641057
1007,1/CST,24851046
1007,1/CT,24641056
1007,1/CST,24851045
1007,1/CT,24641054
1007,1/CST,24851048
1007,1/CT,24641059
1007,1/CST,24851054
1007,1/CT,24641064
1007,1/CT,24641060
1007,1/CST,24851053
1007,1/CT,24641063
1007,1/CT,24641061
1007,1/CT,24851043
1007,1/CST,24851035
1007,1/CT,24641045
1007,1/CST,24851052
1010,1/CT,24641066
1010,1/CST,24851056
1010,1/CT,24641067
1010,1/CST,24851057
1010,1/CT,24641068
1010,1/CST,24851058
1010,1/CST,24851062
1010,1/CT,24641072
1010,1/CST,24851061
1010,1/CT,24641071
1010,1/CST,24851060
1010,1/CT,24641070
1010,1/CT,24641073
1010,1/CST,24851063
1010,1/CT,24641074
1010,1/CST,24851064
1010,1/CT,24641075
1010,1/CST,24851065
1010,1/CST,24851069
1010,1/CT,24851070
1010,1/CST,24851068
1010,1/CT,24641078
1010,1/CST,24851067
1010,1/CT,24641077
1010,1/CT,24641080
1010,1/CST,24851071
1010,1/CT,24641081
1010,1/CST,24851072
1010,1/CST,24851075
1010,1/CT,24641084
1010,1/CST,24851074
1010,1/CT,24641083
1010,1/CT,24851059
